user_id,age,isFemale,factual_present,future,past,psychological_present
3115248,27,1,0.0,0.0,0.0,0.0
4885658,31,0,0.0,0.0909,0.0,0.3182
14542197,29,0,0.0441,0.0147,0.0,0.3971
15989908,55,0,0.05,0.0,0.0,0.4667
21217941,18,1,0.1389,0.0,0.0,0.2222
41115848,28,1,0.0377,0.0,0.0,0.5472
45894165,28,0,0.0,0.0,0.0,0.5455
66704677,25,0,0.0968,0.0161,0.0484,0.4032
215838701,25,1,0.0789,0.0,0.0,0.4737
220264085,40,1,0.0,0.0,0.0,0.7059
221199857,46,0,0.0779,0.0,0.0,0.2468
273857008,29,0,0.0476,0.0238,0.0238,0.3333
1000500937,22,0,0.0256,0.0256,0.0256,0.5641
1004241383,27,1,0.0,0.0,0.0,0.4
1004638100,40,1,0.0,0.0,0.0,0.4412
1005786351,20,1,0.1,0.0,0.0,0.3125
1006366201,26,1,0.0056,0.0056,0.0169,0.5787
1008556744,34,1,0.08,0.0,0.0,0.4667
1009902493,33,0,0.0504,0.0144,0.0216,0.3309
1012506133,45,0,0.0521,0.0,0.0104,0.4479
1015094423,21,1,0.0062,0.0186,0.0248,0.5901
1015686560,30,0,0.0263,0.0,0.0,0.5702
1018801701,27,1,0.1026,0.0256,0.0256,0.3077
1026695181,25,0,0.0179,0.0,0.0,0.3929
1027566830,34,1,0.0294,0.0,0.0147,0.5735
1028363295,25,1,0.0114,0.0114,0.0,0.4318
1031055042,32,0,0.0256,0.0256,0.0,0.4872
1031598227,23,0,0.0435,0.0,0.0,0.4783
1032247327,22,1,0.0367,0.0,0.0,0.6239
1032724683,36,0,0.0175,0.0,0.0,0.5789
1037260582,29,1,0.0615,0.0154,0.0,0.5231
1037650627,34,0,0.0548,0.0,0.0137,0.589
1038801695,23,0,0.0189,0.0,0.0,0.3019
1043555994,35,0,0.0,0.0,0.0,0.4762
1043648367,36,1,0.1429,0.0,0.0,0.4107
1044061641,47,0,0.0,0.0,0.0,0.9
1045049544,24,1,0.1013,0.0,0.0,0.4684
1045220501,30,1,0.0571,0.0,0.0286,0.0571
1045496947,32,0,0.1,0.0,0.0333,0.1667
1045666674,32,0,0.0313,0.0,0.0,0.375
1045817497,32,0,0.0,0.0,0.0,0.1
1045843507,24,0,0.0455,0.0,0.0,0.4545
1046042017,36,0,0.0,0.0,0.0,0.3182
1046843943,29,1,0.0,0.0,0.0,0.4865
1047446465,19,0,0.0,0.0278,0.0,0.5278
1047784185,38,0,0.0325,0.0,0.0,0.3008
1048924315,31,1,0.028,0.0,0.0,0.486
1049029017,19,1,0.1099,0.044,0.011,0.4066
1049150615,28,0,0.0,0.0,0.0,0.5854
1051359283,22,1,0.0435,0.0,0.0,0.5304
1051422872,27,1,0.0638,0.0426,0.0,0.383
1052477083,31,0,0.0,0.0714,0.0,0.2143
1052543691,25,1,0.0698,0.0,0.0,0.4767
1053511205,29,1,0.0305,0.0,0.0,0.3664
1053657455,25,1,0.0811,0.0,0.0,0.2973
1053895574,19,0,0.1089,0.0099,0.0,0.3762
1054762440,31,1,0.0847,0.0,0.0169,0.4237
1055694453,26,1,0.0,0.0,0.0,0.375
1056785814,29,1,0.0,0.0152,0.0,0.5909
1057366687,21,0,0.0121,0.0,0.0,0.2909
1058402544,26,1,0.1067,0.0,0.0,0.2933
1059757252,30,0,0.0,0.0,0.0,0.5
1061054667,26,1,0.0102,0.0153,0.0051,0.7143
1062001173,26,0,0.0909,0.0,0.0,0.5
1062301635,38,0,0.0079,0.0,0.0,0.4683
1062727920,32,0,0.0,0.0385,0.0,0.4231
1063024415,29,1,0.0,0.0,0.0,0.3438
1063049712,25,1,0.0,0.0,0.0,0.4762
1063736733,34,0,0.0145,0.0145,0.0072,0.6014
1064042400,29,0,0.011,0.0,0.0,0.4286
1064475252,33,1,0.0,0.0,0.0,0.4595
